date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:53:02	117648/117648	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Dec%202021%2010:53:01%20GMT	https://www-n2b.nexuswlb.com/desktop/casino/allbet	C:/Users/Goon/Downloads/Nexus/www-n2b.nexuswlb.com/desktop/casino/allbet.html	(from https://www-n2b.nexuswlb.com/desktop/casino)
18:53:05	38672/38672	---M--	200	added ('OK')	image/png	etag:%22060746b6fd2d61:0%22	http://nx-cdn.trgwl.com/Images/nexus-beta/dark-gold/desktop/providers/icons/casino/dreamgaming.png?v=20211105	C:/Users/Goon/Downloads/Nexus/nx-cdn.trgwl.com/Images/nexus-beta/dark-gold/desktop/providers/icons/casino/dreamgaming3895.png	(from https://www-n2b.nexuswlb.com/desktop/casino)
18:53:06	42007/42007	---M--	200	added ('OK')	image/png	etag:%220d5f0f7a4d8d61:0%22	http://nx-cdn.trgwl.com/Images/nexus-beta/dark-gold/desktop/providers/icons/casino/allbet.png?v=20211105	C:/Users/Goon/Downloads/Nexus/nx-cdn.trgwl.com/Images/nexus-beta/dark-gold/desktop/providers/icons/casino/allbet3895.png	(from https://www-n2b.nexuswlb.com/desktop/casino)
18:53:10	116368/116368	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Dec%202021%2010:53:07%20GMT	https://www-n2b.nexuswlb.com/desktop/sport/sbo-sportsbook	C:/Users/Goon/Downloads/Nexus/www-n2b.nexuswlb.com/desktop/sport/sbo-sportsbook.html	(from https://www-n2b.nexuswlb.com/desktop/sport)
18:53:10	32463/32463	---M--	200	added ('OK')	image/png	etag:%220ce75e4e5c8d61:0%22	http://nx-cdn.trgwl.com/Images/nexus-beta/dark-gold/desktop/providers/icons/sports/sbo.png?v=20211105	C:/Users/Goon/Downloads/Nexus/nx-cdn.trgwl.com/Images/nexus-beta/dark-gold/desktop/providers/icons/sports/sbo3895.png	(from https://www-n2b.nexuswlb.com/desktop/sport)
18:53:14	116509/116509	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Dec%202021%2010:53:10%20GMT	https://www-n2b.nexuswlb.com/desktop/sport/pinnacle	C:/Users/Goon/Downloads/Nexus/www-n2b.nexuswlb.com/desktop/sport/pinnacle.html	(from https://www-n2b.nexuswlb.com/desktop/sport)
18:53:15	84788/84788	---M--	200	added ('OK')	image/png	etag:%220cddbe26f26d71:0%22	http://nx-cdn.trgwl.com/Images/nexus-beta/dark-gold/desktop/providers/banners/casino/evo-gaming.png?v=20211105	C:/Users/Goon/Downloads/Nexus/nx-cdn.trgwl.com/Images/nexus-beta/dark-gold/desktop/providers/banners/casino/evo-gaming3895.png	(from https://www-n2b.nexuswlb.com/desktop/casino/evo-gaming)
18:53:17	43893/43893	---M--	200	added ('OK')	image/png	etag:%2204f69caa6cad71:0%22	http://nx-cdn.trgwl.com/Images/nexus-beta/dark-gold/desktop/providers/icons/sports/pinnacle.png?v=20211105	C:/Users/Goon/Downloads/Nexus/nx-cdn.trgwl.com/Images/nexus-beta/dark-gold/desktop/providers/icons/sports/pinnacle3895.png	(from https://www-n2b.nexuswlb.com/desktop/sport)
18:53:17	116409/116409	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Dec%202021%2010:53:15%20GMT	https://www-n2b.nexuswlb.com/desktop/sport/saba-sportsbook	C:/Users/Goon/Downloads/Nexus/www-n2b.nexuswlb.com/desktop/sport/saba-sportsbook.html	(from https://www-n2b.nexuswlb.com/desktop/sport)
18:53:19	30771/30771	---M--	200	added ('OK')	image/png	etag:%220ce75e4e5c8d61:0%22	http://nx-cdn.trgwl.com/Images/nexus-beta/dark-gold/desktop/providers/icons/sports/ibcsports.png?v=20211105	C:/Users/Goon/Downloads/Nexus/nx-cdn.trgwl.com/Images/nexus-beta/dark-gold/desktop/providers/icons/sports/ibcsports3895.png	(from https://www-n2b.nexuswlb.com/desktop/sport)
18:53:19	116608/116608	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Dec%202021%2010:53:17%20GMT	https://www-n2b.nexuswlb.com/desktop/sport/pragmatic-virtual-sports	C:/Users/Goon/Downloads/Nexus/www-n2b.nexuswlb.com/desktop/sport/pragmatic-virtual-sports.html	(from https://www-n2b.nexuswlb.com/desktop/sport)
